ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
0.35434, 9.83059, -0.20351, 0.00133, 0.02864, 0.01825, 32.39066
0.29209, 9.84975, -0.24181, 0.00346, 0.02745, 0.02958, 32.53443
0.33758, 9.80426, -0.14365, -0.01772, 0.02771, 0.01559, 32.63028
0.29928, 9.79947, -0.10774, 0.01439, 0.03158, 0.02385, 32.58235
0.28491, 9.80426, -0.23942, -0.01492, 0.02158, 0.01186, 32.39066
0.30406, 9.86890, -0.18914, 0.01199, 0.03411, 0.02438, 32.43858
0.33998, 9.80905, -0.20830, -0.00933, 0.02411, 0.01466, 32.58235
0.28730, 9.83778, -0.16281, 0.00759, 0.02158, 0.02145, 32.58235
0.32561, 9.82820, -0.12210, 0.01359, 0.02691, 0.01945, 32.58235
0.30406, 9.78271, -0.12210, 0.00706, 0.02531, 0.02065, 32.72612
0.29928, 9.79947, -0.16281, -0.00213, 0.01972, 0.01612, 32.39066
0.31364, 9.80665, -0.17717, -0.01359, 0.02718, 0.01692, 32.29482
0.28730, 9.81383, -0.17478, -0.00013, 0.02691, 0.02438, 32.72612
0.28252, 9.81862, -0.21069, -0.01039, 0.02358, 0.02105, 32.24690
0.29688, 9.82102, -0.22266, 0.00853, 0.03211, 0.02118, 32.43858
0.33040, 9.86651, -0.19154, 0.00506, 0.02425, 0.02065, 32.72612
0.31603, 9.78750, -0.16999, 0.00160, 0.02385, 0.01759, 32.39066
0.30167, 9.82102, -0.12450, 0.00906, 0.02771, 0.01825, 32.63028
0.30885, 9.82580, -0.20111, 0.00266, 0.02904, 0.02198, 32.43858
0.28012, 9.82341, -0.14605, 0.00679, 0.01919, 0.01665, 32.43858
0.28012, 9.81623, -0.13647, -0.00373, 0.03104, 0.01612, 32.39066
0.32082, 9.77553, -0.14844, -0.01119, 0.02465, 0.02252, 32.72612
0.29688, 9.83538, -0.23463, -0.00560, 0.02038, 0.02252, 32.43858
0.34477, 9.84017, -0.24421, -0.01625, 0.02451, 0.00986, 32.63028
0.31364, 9.80186, -0.21787, -0.01119, 0.01958, 0.01319, 32.58235
0.27294, 9.78750, -0.15802, 0.00706, 0.03038, 0.02105, 32.58235
0.30167, 9.84017, -0.14844, -0.01319, 0.03211, 0.01825, 32.72612
0.28970, 9.81623, -0.11492, 0.01545, 0.02891, 0.02332, 32.63028
0.31125, 9.84975, -0.11013, 0.02225, 0.03024, 0.02491, 32.19897
0.28491, 9.84256, -0.14126, 0.00027, 0.02825, 0.02092, 32.53443
0.25139, 9.81862, -0.22984, -0.00666, 0.02745, 0.02052, 32.58235
0.31843, 9.82820, -0.15802, -0.01652, 0.02172, 0.01585, 32.63028
0.32561, 9.82580, -0.13647, -0.00080, 0.02984, 0.01799, 32.39066
0.32322, 9.81144, -0.14126, 0.01079, 0.02345, 0.02012, 32.53443
0.31125, 9.80665, -0.18435, 0.00746, 0.02425, 0.01839, 32.72612
0.30167, 9.80186, -0.17478, 0.01625, 0.02984, 0.01905, 32.53443
0.32561, 9.82820, -0.20351, -0.00426, 0.02491, 0.01545, 32.58235
0.26576, 9.81862, -0.20111, 0.00067, 0.02638, 0.01772, 32.53443
