ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
-0.03352, 0.24900, 10.28549, 0.00067, 0.03717, 0.01426, 31.33636
-0.01915, 0.23703, 10.35492, 0.00506, 0.03944, 0.01426, 31.14467
-0.04310, 0.28012, 10.28070, 0.00200, 0.02745, 0.01146, 31.24051
-0.04788, 0.25618, 10.27591, 0.00360, 0.06315, 0.01119, 31.38428
-0.02873, 0.31843, 10.28070, 0.00107, 0.00573, 0.01292, 31.24051
-0.00239, 0.26336, 10.18493, 0.00333, 0.00360, 0.01332, 31.24051
0.00718, 0.25857, 10.31901, 0.00426, 0.03144, 0.00853, 31.19259
0.00239, 0.24660, 10.31422, 0.00346, 0.01745, 0.01239, 31.14467
0.02155, 0.25379, 10.36689, 0.00493, 0.04596, 0.00733, 31.24051
-0.02634, 0.30885, 10.30225, -0.00013, 0.03064, 0.01053, 31.04882
-0.02394, 0.28970, 10.29507, 0.00360, 0.03984, 0.01226, 31.14467
-0.04070, 0.20830, 10.30464, 0.00173, 0.03637, 0.01199, 31.14467
-0.02634, 0.28012, 10.25437, -0.00147, 0.03411, 0.01053, 31.14467
-0.08619, 0.26097, 10.22564, -0.00027, 0.01252, 0.01452, 31.24051
-0.06464, 0.26576, 10.36450, 0.00333, 0.02731, 0.01066, 31.38428
-0.03352, 0.25379, 10.30704, 0.00173, 0.02491, 0.01479, 31.14467
-0.02155, 0.20590, 10.25676, 0.00373, 0.05289, 0.01266, 31.19259
0.00479, 0.26097, 10.28788, 0.00333, 0.03837, 0.01132, 31.48013
-0.04310, 0.24660, 10.31901, 0.00919, -0.00493, 0.01772, 31.52805
-0.02394, 0.29209, 10.33098, 0.00253, 0.02185, 0.01013, 31.38428
0.00958, 0.27773, 10.26873, 0.00413, 0.02252, 0.01026, 31.52805
-0.05507, 0.26576, 10.22564, 0.00293, 0.01132, 0.01279, 31.24051
-0.00479, 0.25379, 10.33338, 0.01053, 0.05103, 0.00986, 31.00090
-0.03112, 0.27294, 10.24239, 0.00107, 0.02825, 0.00973, 31.04882
-0.03352, 0.27054, 10.22085, 0.00520, 0.03637, 0.01292, 31.14467
-0.01915, 0.24660, 10.21606, 0.00133, 0.04077, 0.01106, 31.19259
0.00239, 0.24181, 10.26155, -0.00027, 0.03704, 0.01066, 31.24051
0.01437, 0.28252, 10.27352, 0.00360, 0.03917, 0.01226, 31.38428
-0.01915, 0.27294, 10.25915, 0.00480, 0.02878, 0.01079, 31.19259
0.00718, 0.25139, 10.25915, 0.00160, 0.02118, 0.01692, 31.33636
-0.04070, 0.26336, 10.26873, 0.00546, 0.01599, 0.01026, 31.38428
-0.10056, 0.25618, 10.24958, 0.00013, -0.03930, 0.01825, 31.24051
-0.03831, 0.22505, 10.33816, 0.00640, 0.03557, 0.01186, 31.33636
-0.02394, 0.22266, 10.28788, 0.00280, -0.01146, 0.01386, 31.38428
-0.01197, 0.25139, 10.23042, 0.00426, -0.00200, 0.00866, 31.48013
-0.01197, 0.27054, 10.23042, 0.00266, 0.04596, 0.01332, 31.14467
-0.03352, 0.23463, 10.29746, 0.00613, 0.01039, 0.01306, 31.04882
0.01676, 0.26576, 10.29986, 0.00400, 0.02971, 0.01292, 31.19259
0.02634, 0.24900, 10.27831, 0.00600, -0.00226, 0.00933, 31.14467
-0.01437, 0.27773, 10.19451, 0.00067, 0.02198, 0.01199, 31.04882
-0.01676, 0.26336, 10.33816, 0.00040, 0.00666, 0.01479, 31.04882
-0.01676, 0.23224, 10.29507, 0.00187, -0.01745, 0.00879, 31.24051
-0.02634, 0.29928, 10.25197, 0.00426, 0.04890, 0.01346, 31.38428
0.00718, 0.24900, 10.33816, 0.00506, 0.02198, 0.01399, 31.19259
-0.01197, 0.23703, 10.21127, 0.00413, 0.00520, 0.01545, 31.24051
0.07661, 0.23463, 10.30225, -0.00133, 0.03837, 0.01079, 31.24051
0.01676, 0.22266, 10.32140, 0.00360, 0.01492, 0.00906, 31.14467
0.01676, 0.22027, 10.26394, 0.01226, 0.04943, 0.01519, 31.04882
0.05507, 0.22984, 10.32140, 0.00346, 0.02851, 0.01053, 31.14467
0.00239, 0.22984, 10.24718, 0.00360, 0.02252, 0.00906, 31.38428
0.02394, 0.23463, 10.25915, -0.00253, 0.00373, 0.01386, 31.14467
0.03112, 0.22984, 10.28788, 0.00320, 0.02358, 0.01319, 31.33636
0.04310, 0.24421, 10.28549, 0.00613, 0.01892, 0.01319, 31.48013
0.02634, 0.24421, 10.19690, 0.00080, 0.02745, 0.00919, 31.38428
0.03591, 0.21308, 10.30943, 0.00426, 0.02838, 0.01252, 31.19259
0.06943, 0.25857, 10.27591, 0.00187, 0.01106, 0.01372, 31.24051
0.03352, 0.26097, 10.27352, 0.00520, 0.03890, 0.01053, 31.38428
0.01915, 0.22266, 10.35253, 0.00506, 0.02611, 0.01346, 31.48013
0.06704, 0.25857, 10.26873, 0.00386, 0.03397, 0.01053, 31.38428
0.05507, 0.25379, 10.27352, 0.00693, 0.02065, 0.01359, 31.48013
0.06704, 0.24900, 10.25915, 0.00453, 0.01426, 0.01519, 31.14467
0.05267, 0.25857, 10.25437, 0.00173, 0.02265, 0.01332, 31.19259
0.03112, 0.23703, 10.27591, 0.00053, 0.00866, 0.01585, 31.00090
0.05746, 0.26097, 10.22324, 0.00147, 0.00879, 0.01612, 31.19259
0.06225, 0.23703, 10.30225, 0.00386, 0.00746, 0.01026, 31.24051
0.11253, 0.26815, 10.28788, 0.00240, 0.03544, 0.01106, 31.33636
0.08859, 0.26576, 10.35492, 0.00346, 0.02891, 0.00679, 31.48013
0.07422, 0.25379, 10.29028, 0.00506, 0.03238, 0.01266, 31.04882
0.08380, 0.26336, 10.31662, 0.00413, 0.01879, 0.01199, 31.24051
0.09337, 0.28012, 10.26873, 0.00173, 0.03171, 0.01159, 31.24051
0.07661, 0.22984, 10.26634, 0.00386, 0.01239, 0.01079, 31.38428
0.10295, 0.22505, 10.29746, 0.00120, 0.01306, 0.00573, 31.19259
0.09098, 0.27054, 10.27591, 0.00839, 0.03198, 0.01053, 31.33636
0.08859, 0.27533, 10.33577, 0.00333, 0.03224, 0.01665, 31.48013
0.11971, 0.26815, 10.26155, 0.00093, 0.03970, 0.01013, 31.33636
0.02634, 0.26097, 10.14423, 0.00226, 0.01759, 0.01426, 31.24051
0.08140, 0.22745, 10.33577, 0.00400, 0.02931, 0.00933, 31.38428
0.11492, 0.21308, 10.37408, 0.00040, 0.05556, 0.01013, 31.38428
0.06225, 0.23463, 10.26155, 0.00373, 0.02651, 0.00959, 31.48013
0.11492, 0.22505, 10.31901, 0.00226, 0.02638, 0.01346, 31.38428
0.09577, 0.22984, 10.29267, 0.00280, 0.03118, 0.00959, 31.38428
0.04788, 0.29449, 10.27352, -0.00173, 0.02491, 0.01013, 31.24051
0.08380, 0.26336, 10.26155, 0.00520, 0.04050, 0.01172, 31.24051
0.06464, 0.29209, 10.33098, -0.00213, 0.03597, 0.00759, 31.24051
0.04310, 0.26097, 10.32380, 0.00466, 0.03504, 0.01399, 31.38428
0.05746, 0.25857, 10.39802, 0.00413, 0.03131, 0.01252, 31.38428
0.04310, 0.25379, 10.29028, 0.00373, 0.02358, 0.01359, 31.33636
0.07183, 0.27533, 10.29267, 0.00426, 0.04104, 0.01319, 31.33636
0.03591, 0.27294, 10.24239, 0.00213, 0.03277, 0.00986, 31.33636
0.04070, 0.24900, 10.31662, 0.00413, 0.02305, 0.01106, 31.57597
-0.01197, 0.25618, 10.33338, 0.00506, 0.03584, 0.00986, 31.19259
0.02394, 0.25618, 10.35732, 0.00626, 0.02545, 0.01252, 31.57597
-0.03352, 0.21787, 10.28549, 0.00493, 0.04223, 0.00933, 31.52805
-0.00239, 0.22505, 10.33098, 0.00546, 0.05196, 0.01319, 31.57597
0.02634, 0.27294, 10.34535, 0.00226, 0.03890, 0.01159, 31.24051
0.01437, 0.25618, 10.27352, 0.00413, 0.03384, 0.01439, 31.38428
0.01437, 0.25379, 10.33577, 0.00053, 0.01212, 0.01226, 31.24051
-0.05028, 0.23703, 10.27831, 0.00600, 0.00173, 0.00919, 31.33636
-0.01676, 0.23942, 10.24000, 0.00466, -0.00226, 0.00933, 31.38428
0.00479, 0.26097, 10.29267, 0.00440, 0.02025, 0.01252, 31.24051
0.01437, 0.23942, 10.35492, 0.00253, 0.00573, 0.00786, 31.38428
-0.01197, 0.22505, 10.36450, 0.00280, 0.02318, 0.01386, 31.52805
0.01197, 0.24660, 10.30704, 0.00200, 0.02598, 0.01266, 31.57597
-0.02873, 0.24900, 10.29028, 0.00253, 0.02598, 0.01066, 31.38428
-0.01676, 0.20590, 10.28310, 0.00187, 0.01013, 0.01066, 31.38428
-0.00479, 0.21069, 10.31662, 0.00147, 0.03691, 0.01492, 31.24051
0.00958, 0.27533, 10.31662, 0.00293, 0.03770, 0.00893, 31.57597
-0.00479, 0.27533, 10.38844, 0.00093, 0.04477, 0.01039, 31.48013
0.03831, 0.25618, 10.31901, 0.00466, 0.00506, 0.01119, 31.52805
0.02394, 0.22745, 10.32380, -0.00027, 0.04077, 0.00813, 31.38428
0.01676, 0.23224, 10.30704, 0.00560, 0.03464, 0.00573, 31.24051
0.04549, 0.23942, 10.34295, 0.00200, 0.03158, 0.01732, 31.38428
-0.01437, 0.24421, 10.23761, 0.00320, 0.06861, 0.01146, 31.48013
-0.04788, 0.26336, 10.30704, 0.00293, 0.03837, 0.00773, 31.33636
-0.04788, 0.24181, 10.22803, 0.00453, 0.01559, 0.00746, 31.38428
-0.02634, 0.25618, 10.34056, -0.00067, 0.02904, 0.00973, 31.33636
-0.03831, 0.26097, 10.26873, 0.00266, 0.00906, 0.01599, 31.57597
-0.02873, 0.21308, 10.30225, 0.00373, 0.01412, 0.01319, 31.38428
0.03352, 0.25139, 10.36689, 0.00413, 0.02665, 0.01026, 31.38428
0.00000, 0.23463, 10.31183, 0.00493, 0.02052, 0.01319, 31.57597
-0.01437, 0.23942, 10.26634, 0.00666, 0.03238, 0.00959, 31.33636
-0.02394, 0.22505, 10.25915, 0.00453, 0.00946, 0.01066, 31.48013
0.02634, 0.23224, 10.22324, 0.00360, 0.03584, 0.01399, 31.52805
0.03112, 0.22266, 10.35732, 0.00786, 0.03717, 0.00866, 31.38428
0.01915, 0.23463, 10.35492, 0.00386, -0.00133, 0.01572, 31.48013
0.03831, 0.20351, 10.34774, 0.00280, 0.02212, 0.01026, 31.48013
0.02634, 0.22745, 10.27591, 0.00306, 0.02225, 0.01212, 31.48013
0.08380, 0.27773, 10.36929, 0.00573, 0.00306, 0.00959, 31.52805
0.02394, 0.24181, 10.29028, 0.00200, 0.03557, 0.01665, 31.38428
0.05267, 0.22984, 10.28549, 0.00280, 0.04956, 0.00933, 31.67182
0.00479, 0.22027, 10.26873, 0.00133, 0.02931, 0.01172, 31.24051
0.03591, 0.26576, 10.30464, 0.00373, -0.00226, 0.01266, 31.52805
0.02634, 0.24660, 10.40759, 0.00213, 0.06781, 0.00799, 31.33636
0.02394, 0.28730, 10.28070, 0.00480, 0.03317, 0.00986, 31.33636
-0.00239, 0.24181, 10.33577, 0.00493, 0.05396, 0.00893, 31.48013
0.01915, 0.21787, 10.33098, 0.00986, 0.03078, 0.00813, 31.38428
0.03591, 0.23224, 10.34774, 0.00400, 0.02385, 0.01492, 31.57597
0.00958, 0.25379, 10.33577, 0.00333, 0.03624, 0.01053, 31.52805
-0.01437, 0.28491, 10.29507, -0.00013, 0.02585, 0.01266, 31.48013
-0.01676, 0.25618, 10.27112, 0.00560, 0.00240, 0.01799, 31.38428
-0.01437, 0.25379, 10.24718, 0.00453, 0.02065, 0.01346, 31.38428
0.03591, 0.22505, 10.28070, 0.00173, 0.03437, 0.01532, 31.71974
0.01915, 0.24660, 10.27591, 0.00360, 0.05209, 0.01079, 31.52805
-0.02155, 0.26576, 10.27112, 0.00586, 0.03078, 0.01346, 31.38428
0.00000, 0.25618, 10.32140, 0.00653, 0.02771, 0.01159, 31.24051
-0.05028, 0.23942, 10.32380, 0.00067, 0.05622, 0.01106, 31.38428
-0.04310, 0.26097, 10.28549, 0.00173, 0.05409, 0.01399, 31.38428
-0.01915, 0.26097, 10.27591, 0.00826, 0.01399, 0.01639, 31.57597
0.01197, 0.24181, 10.31662, 0.00200, 0.03837, 0.01479, 31.33636
0.03591, 0.22984, 10.31901, 0.00693, 0.02638, 0.01306, 31.57597
0.06225, 0.26815, 10.31183, 0.00693, 0.00706, 0.01346, 31.57597
0.01915, 0.23224, 10.30943, 0.00266, 0.02411, 0.01279, 31.67182
-0.03831, 0.25618, 10.19212, 0.00333, -0.00466, 0.01226, 31.38428
0.00479, 0.26097, 10.28549, -0.00040, 0.03797, 0.01346, 31.48013
-0.00718, 0.27294, 10.29986, 0.00706, 0.02172, 0.01332, 31.19259
0.02394, 0.24900, 10.30704, 0.00506, 0.04437, 0.01319, 31.48013
-0.00479, 0.23224, 10.24718, 0.00027, 0.03571, 0.01532, 31.48013
-0.01915, 0.24900, 10.32859, 0.00506, 0.02851, 0.01665, 31.38428
0.01676, 0.24181, 10.28310, 0.00067, 0.04636, 0.00826, 31.38428
0.01676, 0.26336, 10.30943, 0.00226, 0.00040, 0.01492, 31.71974
-0.02394, 0.26097, 10.32140, 0.00160, 0.01053, 0.01559, 31.67182
0.02634, 0.25139, 10.28549, 0.00573, 0.03557, 0.01132, 31.33636
