ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
10.00297, -0.05507, -0.18675, 0.00040, 0.03890, 0.01279, 32.39066
10.00058, -0.00958, -0.02634, 0.00160, 0.01519, 0.02238, 32.72612
9.96227, -0.02634, -0.04070, 0.01212, 0.04557, 0.01532, 32.53443
9.98861, -0.00718, -0.03112, -0.00480, 0.00786, 0.01785, 32.63028
9.96706, -0.00958, 0.02155, 0.00613, 0.01919, 0.01652, 32.72612
9.96706, -0.06704, 0.00958, 0.00147, 0.02278, 0.01332, 32.58235
9.97664, -0.05267, -0.05028, 0.00453, 0.02545, 0.01506, 32.43858
10.01016, -0.09577, -0.03591, 0.00013, 0.02318, 0.01599, 32.72612
9.97185, 0.00239, -0.07183, 0.00000, 0.02358, 0.01945, 32.58235
9.96706, 0.02394, -0.06464, -0.00040, 0.02185, 0.01905, 32.63028
10.00776, -0.02155, -0.04310, -0.00280, 0.00906, 0.01799, 32.39066
9.97664, -0.03831, -0.06704, 0.00120, 0.01266, 0.01519, 32.39066
9.99819, -0.05267, -0.02155, -0.00093, 0.00693, 0.01159, 32.72612
9.97664, -0.03591, -0.05507, 0.00120, 0.05103, 0.01506, 32.72612
9.99579, -0.03591, -0.11732, 0.00280, 0.00999, 0.01652, 32.58235
9.99340, -0.03591, -0.11013, 0.00240, 0.02811, 0.01652, 32.58235
10.00537, 0.00239, -0.11013, 0.00613, 0.02265, 0.01252, 32.72612
10.05804, -0.02394, -0.14605, 0.00546, 0.03624, 0.01452, 32.63028
10.00537, -0.04788, -0.15562, 0.00093, 0.02305, 0.01972, 32.58235
9.99100, -0.04549, -0.10774, 0.00440, 0.02332, 0.01479, 32.82197
10.00537, -0.03112, -0.16281, 0.00533, 0.02904, 0.01785, 32.58235
10.01973, -0.03112, -0.18675, 0.00573, 0.04303, 0.01705, 32.63028
10.00776, -0.02155, -0.17478, 0.00280, 0.04503, 0.01772, 32.58235
10.04128, -0.08859, -0.16041, 0.00679, 0.03824, 0.01212, 32.72612
9.97185, -0.05986, -0.01915, 0.00293, 0.00919, 0.01825, 32.72612
10.01255, -0.04549, -0.11253, 0.00320, 0.02465, 0.02025, 32.63028
10.00058, -0.03831, -0.14365, 0.00480, 0.02478, 0.01785, 32.72612
9.98622, -0.02634, -0.13647, 0.00586, 0.03557, 0.01412, 32.72612
10.00776, -0.04070, -0.05267, -0.00386, 0.00626, 0.01732, 32.58235
9.96946, -0.06464, -0.15562, -0.00173, 0.00160, 0.01386, 32.63028
9.96706, -0.05028, -0.09337, -0.00013, -0.00480, 0.01719, 32.82197
10.00058, -0.02155, -0.15083, 0.00173, 0.01506, 0.01426, 32.58235
9.98143, -0.02394, -0.15562, 0.00333, 0.00187, 0.01426, 32.72612
10.01495, -0.04310, -0.13168, 0.00546, 0.01426, 0.01572, 32.39066
9.99100, -0.07183, -0.15802, -0.00333, 0.01346, 0.01905, 32.72612
9.98861, -0.03352, -0.18675, 0.00333, 0.03437, 0.01665, 32.58235
9.97664, -0.04788, -0.17717, 0.00426, 0.02038, 0.02052, 32.58235
9.99819, -0.08140, -0.15802, 0.00107, 0.01092, 0.01772, 32.72612
10.03170, -0.09337, -0.13408, 0.01306, 0.03957, 0.01199, 32.43858
9.97424, -0.06704, -0.13886, 0.00413, 0.01386, 0.02038, 32.63028
9.98622, -0.02873, -0.15802, 0.01119, 0.02238, 0.01785, 32.63028
10.00058, 0.01437, -0.16759, 0.00466, 0.03437, 0.01612, 32.72612
10.03410, -0.05507, -0.17238, 0.00493, 0.02745, 0.01186, 32.82197
10.01495, -0.04788, -0.26336, 0.00333, 0.02118, 0.01412, 32.43858
9.95509, -0.06943, -0.16999, -0.00067, 0.00573, 0.01106, 32.72612
9.99100, -0.02873, -0.17478, 0.00213, -0.00240, 0.00853, 32.58235
10.01734, -0.05746, -0.17957, 0.00879, 0.00120, 0.00999, 32.43858
10.01734, -0.04310, -0.15083, 0.00693, 0.01399, 0.01212, 32.58235
9.97185, -0.04070, -0.13168, 0.01998, 0.03824, 0.01346, 32.58235
10.06522, -0.06704, -0.15802, 0.01932, 0.05329, 0.01492, 32.39066
9.99100, -0.06464, -0.22027, -0.00320, 0.02558, 0.01519, 32.58235
10.01973, -0.05507, -0.22505, -0.00040, 0.03211, 0.01892, 32.91781
10.01255, -0.05267, -0.19154, -0.00027, 0.01825, 0.00839, 32.63028
9.97664, -0.03352, -0.23463, 0.01026, 0.01426, 0.00546, 32.72612
9.99579, -0.04549, -0.17717, -0.00027, 0.01386, 0.01545, 32.39066
9.98861, 0.01915, -0.15562, 0.00346, 0.04037, 0.01359, 32.58235
9.97903, -0.05028, -0.18675, -0.00719, 0.01466, 0.01679, 32.63028
9.96706, -0.02394, -0.21308, -0.00306, 0.01172, 0.01785, 32.72612
10.00776, 0.00239, -0.22505, -0.00253, 0.03651, 0.02425, 32.82197
9.97424, -0.02634, -0.20830, 0.00666, 0.03890, 0.01252, 32.72612
9.98382, -0.07901, -0.13168, 0.00173, 0.04277, 0.02065, 32.72612
10.05804, -0.01676, -0.24421, 0.00919, 0.03264, 0.02012, 32.43858
9.99340, -0.05028, -0.15323, -0.00280, 0.03224, 0.01772, 32.63028
9.99100, -0.01676, -0.24900, -0.00879, 0.01359, 0.01972, 32.58235
